18-11-24T07:39:07.368	loadSingleObje.	UA000000	select * from user_app_data where id= 'UA000000';
18-11-24T07:39:07.664	statsWithGroup	PENDING		select article, count(*) as count from article_bonus_data where (moyi='M000001') group by article;
18-11-24T07:39:07.667	statsWithGroup	PENDING		select moderator, count(*) as count from article_bonus_data where (moyi='M000001') group by moderator;
18-11-24T07:39:07.672	statsWithGroup	PENDING		select bonus_type, count(*) as count from article_bonus_data where (moyi='M000001') group by bonus_type;
18-11-24T07:39:07.677	queryForList	3 ROWS		select * from bonus_type_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.697	queryForList	564 ROWS	select * from artist_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.697	statsWithGroup	PENDING		select moyi_user, count(*) as count from artist_data where (moyi='M000001') group by moyi_user;
18-11-24T07:39:07.727	statsWithGroup	PENDING		select creator, count(*) as count from artist_data where (moyi='M000001') group by creator;
18-11-24T07:39:07.754	queryForList	1000 ROWS	select * from moyi_user_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.755	statsWithGroup	PENDING		select date(create_time), count(*) as count from moyi_user_data where (moyi='M000001') group by date(create_time);
18-11-24T07:39:07.762	statsWithGroup	PENDING		select user_level, count(*) as count from moyi_user_data where (moyi='M000001') group by user_level;
18-11-24T07:39:07.779	queryForList	365 ROWS	select * from user_invite_registration_info_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.780	statsWithGroup	PENDING		select date(registration_date), count(*) as count from user_invite_registration_info_data where (moyi='M000001') group by date(registration_date);
18-11-24T07:39:07.782	statsWithGroup	PENDING		select inviter, count(*) as count from user_invite_registration_info_data where (moyi='M000001') group by inviter;
18-11-24T07:39:07.787	statsWithGroup	PENDING		select invitee, count(*) as count from user_invite_registration_info_data where (moyi='M000001') group by invitee;
18-11-24T07:39:07.793	queryForList	0 ROWS		select * from organization_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.793	statsWithGroup	PENDING		select moyi_user, count(*) as count from organization_data where (moyi='M000001') group by moyi_user;
18-11-24T07:39:07.795	statsWithGroup	PENDING		select organization_type, count(*) as count from organization_data where (moyi='M000001') group by organization_type;
18-11-24T07:39:07.798	queryForList	3 ROWS		select * from organization_type_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.811	queryForList	1000 ROWS	select * from moyi_user_checkin_record_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.811	statsWithGroup	PENDING		select date(checkin_time), count(*) as count from moyi_user_checkin_record_data where (moyi='M000001') group by date(checkin_time);
18-11-24T07:39:07.816	statsWithGroup	PENDING		select moyi_user, count(*) as count from moyi_user_checkin_record_data where (moyi='M000001') group by moyi_user;
18-11-24T07:39:07.827	queryForList	2 ROWS		select * from transaction_direction_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.858	queryForList	1000 ROWS	select * from reward_detail_record_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:07.858	statsWithGroup	PENDING		select date(create_time), count(*) as count from reward_detail_record_data where (moyi='M000001') group by date(create_time);
18-11-24T07:39:08.207	statsWithGroup	PENDING		select moyi_user, count(*) as count from reward_detail_record_data where (moyi='M000001') group by moyi_user;
18-11-24T07:39:08.799	statsWithGroup	PENDING		select payer, count(*) as count from reward_detail_record_data where (moyi='M000001') group by payer;
18-11-24T07:39:09.120	statsWithGroup	PENDING		select transaction_direction, count(*) as count from reward_detail_record_data where (moyi='M000001') group by transaction_direction;
18-11-24T07:39:09.492	statsWithGroup	PENDING		select status, count(*) as count from reward_detail_record_data where (moyi='M000001') group by status;
18-11-24T07:39:09.731	statsWithGroup	PENDING		select article, count(*) as count from reward_detail_record_data where (moyi='M000001') group by article;
18-11-24T07:39:10.111	statsWithGroup	PENDING		select artwork, count(*) as count from reward_detail_record_data where (moyi='M000001') group by artwork;
18-11-24T07:39:10.713	statsWithGroup	PENDING		select review, count(*) as count from reward_detail_record_data where (moyi='M000001') group by review;
18-11-24T07:39:11.073	queryForList	1000 ROWS	select * from artwork_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:11.073	statsWithGroup	PENDING		select date(post_time), count(*) as count from artwork_data where (moyi='M000001') group by date(post_time);
18-11-24T07:39:11.198	statsWithGroup	PENDING		select author, count(*) as count from artwork_data where (moyi='M000001') group by author;
18-11-24T07:39:11.373	statsWithGroup	PENDING		select active, count(*) as count from artwork_data where (moyi='M000001') group by active;
18-11-24T07:39:11.536	statsWithGroup	PENDING		select post_by, count(*) as count from artwork_data where (moyi='M000001') group by post_by;
18-11-24T07:39:11.692	statsWithGroup	PENDING		select recommend_by, count(*) as count from artwork_data where (moyi='M000001') group by recommend_by;
18-11-24T07:39:11.761	statsWithGroup	PENDING		select artwork_type, count(*) as count from artwork_data where (moyi='M000001') group by artwork_type;
18-11-24T07:39:11.955	statsWithGroup	PENDING		select artwork_material, count(*) as count from artwork_data where (moyi='M000001') group by artwork_material;
18-11-24T07:39:12.174	statsWithGroup	PENDING		select artwork_style, count(*) as count from artwork_data where (moyi='M000001') group by artwork_style;
18-11-24T07:39:12.276	statsWithGroup	PENDING		select artwork_skill, count(*) as count from artwork_data where (moyi='M000001') group by artwork_skill;
18-11-24T07:39:12.392	statsWithGroup	PENDING		select artwork_topic, count(*) as count from artwork_data where (moyi='M000001') group by artwork_topic;
18-11-24T07:39:12.505	statsWithGroup	PENDING		select artwork_country, count(*) as count from artwork_data where (moyi='M000001') group by artwork_country;
18-11-24T07:39:12.591	statsWithGroup	PENDING		select artwork_figure, count(*) as count from artwork_data where (moyi='M000001') group by artwork_figure;
18-11-24T07:39:12.707	statsWithGroup	PENDING		select artwork_font_style, count(*) as count from artwork_data where (moyi='M000001') group by artwork_font_style;
18-11-24T07:39:12.789	statsWithGroup	PENDING		select artwork_dynasty, count(*) as count from artwork_data where (moyi='M000001') group by artwork_dynasty;
18-11-24T07:39:12.934	statsWithGroup	PENDING		select artwork_category, count(*) as count from artwork_data where (moyi='M000001') group by artwork_category;
18-11-24T07:39:13.012	statsWithGroup	PENDING		select artwork_kind, count(*) as count from artwork_data where (moyi='M000001') group by artwork_kind;
18-11-24T07:39:13.103	statsWithGroup	PENDING		select artwork_decade, count(*) as count from artwork_data where (moyi='M000001') group by artwork_decade;
18-11-24T07:39:13.269	queryForList	6 ROWS		select * from art_type_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.274	queryForList	25 ROWS		select * from artwork_type_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.274	statsWithGroup	PENDING		select art_type, count(*) as count from artwork_type_data where (moyi='M000001') group by art_type;
18-11-24T07:39:13.283	queryForList	254 ROWS	select * from artwork_material_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.285	queryForList	22 ROWS		select * from artwork_style_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.288	queryForList	23 ROWS		select * from artwork_category_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.290	queryForList	12 ROWS		select * from artwork_skill_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.292	queryForList	7 ROWS		select * from artwork_topic_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.296	queryForList	7 ROWS		select * from artwork_country_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.299	queryForList	13 ROWS		select * from artwork_figure_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.301	queryForList	0 ROWS		select * from artwork_font_style_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.301	statsWithGroup	PENDING		select artwork_type, count(*) as count from artwork_font_style_data where (moyi='M000001') group by artwork_type;
18-11-24T07:39:13.305	queryForList	12 ROWS		select * from artwork_dynasty_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.308	queryForList	12 ROWS		select * from artwork_kind_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.311	queryForList	22 ROWS		select * from artwork_decade_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.332	queryForList	1000 ROWS	select * from article_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.332	statsWithGroup	PENDING		select date(post_date), count(*) as count from article_data where (moyi='M000001') group by date(post_date);
18-11-24T07:39:13.339	statsWithGroup	PENDING		select post_by, count(*) as count from article_data where (moyi='M000001') group by post_by;
18-11-24T07:39:13.353	statsWithGroup	PENDING		select article_type, count(*) as count from article_data where (moyi='M000001') group by article_type;
18-11-24T07:39:13.365	statsWithGroup	PENDING		select master_column, count(*) as count from article_data where (moyi='M000001') group by master_column;
18-11-24T07:39:13.379	statsWithGroup	PENDING		select related_artwork, count(*) as count from article_data where (moyi='M000001') group by related_artwork;
18-11-24T07:39:13.389	statsWithGroup	PENDING		select section, count(*) as count from article_data where (moyi='M000001') group by section;
18-11-24T07:39:13.402	statsWithGroup	PENDING		select active, count(*) as count from article_data where (moyi='M000001') group by active;
18-11-24T07:39:13.489	queryForList	6 ROWS		select * from display_mode_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.491	queryForList	6 ROWS		select * from article_type_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.495	queryForList	29 ROWS		select * from content_tag_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.496	statsWithGroup	PENDING		select article, count(*) as count from content_tag_data where (moyi='M000001') group by article;
18-11-24T07:39:13.499	statsWithGroup	PENDING		select artwork, count(*) as count from content_tag_data where (moyi='M000001') group by artwork;
18-11-24T07:39:13.501	statsWithGroup	PENDING		select moyi_user, count(*) as count from content_tag_data where (moyi='M000001') group by moyi_user;
18-11-24T07:39:13.502	statsWithGroup	PENDING		select section, count(*) as count from content_tag_data where (moyi='M000001') group by section;
18-11-24T07:39:13.506	queryForList	0 ROWS		select * from super_node_user_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.506	statsWithGroup	PENDING		select date(start_date), count(*) as count from super_node_user_data where (moyi='M000001') group by date(start_date);
18-11-24T07:39:13.507	statsWithGroup	PENDING		select user, count(*) as count from super_node_user_data where (moyi='M000001') group by user;
18-11-24T07:39:13.511	queryForList	0 ROWS		select * from super_partner_user_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.511	statsWithGroup	PENDING		select date(start_date), count(*) as count from super_partner_user_data where (moyi='M000001') group by date(start_date);
18-11-24T07:39:13.513	statsWithGroup	PENDING		select user, count(*) as count from super_partner_user_data where (moyi='M000001') group by user;
18-11-24T07:39:13.517	queryForList	0 ROWS		select * from moyi_editor_user_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.517	statsWithGroup	PENDING		select date(start_date), count(*) as count from moyi_editor_user_data where (moyi='M000001') group by date(start_date);
18-11-24T07:39:13.519	statsWithGroup	PENDING		select user, count(*) as count from moyi_editor_user_data where (moyi='M000001') group by user;
18-11-24T07:39:13.523	queryForList	0 ROWS		select * from moyi_column_author_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.523	statsWithGroup	PENDING		select date(start_date), count(*) as count from moyi_column_author_data where (moyi='M000001') group by date(start_date);
18-11-24T07:39:13.525	statsWithGroup	PENDING		select user, count(*) as count from moyi_column_author_data where (moyi='M000001') group by user;
18-11-24T07:39:13.528	statsWithGroup	PENDING		select master_column, count(*) as count from moyi_column_author_data where (moyi='M000001') group by master_column;
18-11-24T07:39:13.533	queryForList	0 ROWS		select * from moyi_artwork_review_author_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.533	statsWithGroup	PENDING		select date(start_date), count(*) as count from moyi_artwork_review_author_data where (moyi='M000001') group by date(start_date);
18-11-24T07:39:13.537	statsWithGroup	PENDING		select user, count(*) as count from moyi_artwork_review_author_data where (moyi='M000001') group by user;
18-11-24T07:39:13.542	queryForList	0 ROWS		select * from moyi_master_opinion_author_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.543	statsWithGroup	PENDING		select date(start_date), count(*) as count from moyi_master_opinion_author_data where (moyi='M000001') group by date(start_date);
18-11-24T07:39:13.545	statsWithGroup	PENDING		select user, count(*) as count from moyi_master_opinion_author_data where (moyi='M000001') group by user;
18-11-24T07:39:13.553	queryForList	0 ROWS		select * from moyi_user_daily_ink_value_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.553	statsWithGroup	PENDING		select user, count(*) as count from moyi_user_daily_ink_value_data where (moyi='M000001') group by user;
18-11-24T07:39:13.557	queryForList	2 ROWS		select * from moyi_daily_top_user_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.559	queryForList	0 ROWS		select * from artwork_daily_ink_value_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.559	statsWithGroup	PENDING		select artwork, count(*) as count from artwork_daily_ink_value_data where (moyi='M000001') group by artwork;
18-11-24T07:39:13.569	queryForList	2 ROWS		select * from moyi_daily_top_artwork_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.575	queryForList	1 ROWS		select * from spam_report_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.575	statsWithGroup	PENDING		select date(report_datetime), count(*) as count from spam_report_data where (moyi='M000001') group by date(report_datetime);
18-11-24T07:39:13.579	statsWithGroup	PENDING		select report_user, count(*) as count from spam_report_data where (moyi='M000001') group by report_user;
18-11-24T07:39:13.581	statsWithGroup	PENDING		select spam_article, count(*) as count from spam_report_data where (moyi='M000001') group by spam_article;
18-11-24T07:39:13.583	statsWithGroup	PENDING		select spam_review, count(*) as count from spam_report_data where (moyi='M000001') group by spam_review;
18-11-24T07:39:13.585	statsWithGroup	PENDING		select spam_artwork, count(*) as count from spam_report_data where (moyi='M000001') group by spam_artwork;
18-11-24T07:39:13.589	queryForList	0 ROWS		select * from private_message_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.589	statsWithGroup	PENDING		select date(send_time), count(*) as count from private_message_data where (moyi='M000001') group by date(send_time);
18-11-24T07:39:13.591	statsWithGroup	PENDING		select sender, count(*) as count from private_message_data where (moyi='M000001') group by sender;
18-11-24T07:39:13.593	statsWithGroup	PENDING		select receiver, count(*) as count from private_message_data where (moyi='M000001') group by receiver;
18-11-24T07:39:13.601	queryForList	10 ROWS		select * from ink_coin_incentive_rule_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.601	statsWithGroup	PENDING		select date(last_update_time), count(*) as count from ink_coin_incentive_rule_data where (moyi='M000001') group by date(last_update_time);
18-11-24T07:39:13.605	queryForList	13 ROWS		select * from moyi_experience_rule_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.605	statsWithGroup	PENDING		select date(last_update_time), count(*) as count from moyi_experience_rule_data where (moyi='M000001') group by date(last_update_time);
18-11-24T07:39:13.610	queryForList	10 ROWS		select * from user_level_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.610	statsWithGroup	PENDING		select date(last_update_time), count(*) as count from user_level_data where (moyi='M000001') group by date(last_update_time);
18-11-24T07:39:13.625	queryForList	1000 ROWS	select * from moyi_experience_record_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:13.627	statsWithGroup	PENDING		select date(create_time), count(*) as count from moyi_experience_record_data where (moyi='M000001') group by date(create_time);
18-11-24T07:39:13.825	statsWithGroup	PENDING		select moyi_user, count(*) as count from moyi_experience_record_data where (moyi='M000001') group by moyi_user;
18-11-24T07:39:14.186	statsWithGroup	PENDING		select applied_rule, count(*) as count from moyi_experience_record_data where (moyi='M000001') group by applied_rule;
18-11-24T07:39:14.532	queryForList	2 ROWS		select * from confirmation_status_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:14.535	queryForList	2 ROWS		select * from blocking_type_data where moyi = 'M000001' order by id desc;
18-11-24T07:39:14.539	queryInt	RESULT: 1649	select count(*) from moyi_user_data where (moyi='M000001');
18-11-24T07:39:14.542	queryInt	RESULT: 1170	select count(*) from moyi_user_checkin_record_data where (moyi='M000001');
18-11-24T07:39:14.586	queryInt	RESULT: 54858	select count(*) from reward_detail_record_data where (moyi='M000001');
18-11-24T07:39:14.610	queryInt	RESULT: 20222	select count(*) from artwork_data where (moyi='M000001');
18-11-24T07:39:14.614	queryInt	RESULT: 2807	select count(*) from article_data where (moyi='M000001');
18-11-24T07:39:14.654	queryInt	RESULT: 40517	select count(*) from moyi_experience_record_data where (moyi='M000001');
18-11-24T07:39:14.664	getDisplayName	---		select 'TransactionDirection' as class_name, id, name as display_name from transaction_direction_data where id in ('TD000001')
 union select 'Channel' as class_name, id, name as display_name from channel_data where id in ('C000001','C000005')
